region,fio,pol,born,info,deputat,party,place,okrug,n_okrug,year,status,comment,vydvinut
Минская область,Калугин Петр Алексеевич,м,1941,"КАЛУГИН Петр Алексеевич, 1941 г.р., горный инженер, депутат Палаты представителей Национального собрания Республики Беларусь, г. Солигорск, беспартийный",1,None,г. Солигорск,Солигорский городской № 90,90,2004,1,,
Минская область,Дубовик Николай Николаевич,м,1955,"ДУБОВИК Николай Николаевич, 1955 г.р., инженер-педагог, юрист, депутат Палаты представителей Национального собрания Республики Беларусь, г. Минск, беспартийный",1,None,г. Минск,Столбцовский № 92,92,2004,1,,
Минск,Заболотец Сергей Макарович,м,1955,"ЗАБОЛОТЕЦ Сергей Макарович, 1955 г.р., экономист, депутат Палаты представителей Национального собрания РБ, г Минск, беспартийный",1,None,г. Минск,Автозаводской № 94,94,2004,1,,
Минск,Мазуркевич Галина Алексеевна,ж,1954,"МАЗУРКЕВИЧ Галина Алексеевна, 1954 г.р., преподаватель философии, менеджер-экономист, депутат Палаты представителей Национального собрания РБ, г. Минск, беспартийная",1,None,г. Минск,Свислочский № 96,96,2004,1,,
Минск,Мычко Иван Николаевич,м,1949,"МЫЧКО Иван Николаевич, 1949 г.р., юрист, депутат Палаты представителей Национального собрания Республики Беларусь, г. Минск, беспартийный",1,None,г. Минск,Юго-Западный № 100,100,2004,1,,
Минск,Киселев Сергей Антонович,м,1961,"КИСЕЛЕВ Сергей Антонович, 1961 г.р., экономист, депутат Палаты представителей Национального собрания Республики Беларусь, г. Минск, беспартийный",1,None,г. Минск,Пушкинский № 103,103,2004,1,,
Минск,Абрамова Ольга Михайловна,ж,1953,"АБРАМОВА Ольга Михайловна, 1953 г.р., социолог, депутат Палаты представителей Национального Собрания Республики Беларусь, г. Минск, беспартийная",1,None,г. Минск,Калиновский № 108,108,2004,1,,
Минск,Марахин Виктор Иванович,м,1958,"МАРАХИН Виктор Иванович, 1958 г.р., радиоинженер, депутат Палаты представителей Национального собрания Республики Беларусь, г. Минск, беспартийный",1,None,г. Минск,Уручский № 109,109,2004,1,,
Минск,Красуцкий Анатолий Викторович,м,1947,"КРАСУЦКИЙ Анатолий Викторович, 1947 г.р., юрист, экономист, политолог, депутат Палаты представителей Национального собрания Республики Беларусь, г. Минск, беспартийный",1,None,г. Минск,Партизанский № 110,110,2004,1,,
Брестская область,Гиль Светлана Викентьевна,ж,1947,"ГИЛЬ Светлана Викентьевна, 1947 г. р., инженер-технолог, депутат Палаты представителей Национального собрания Республики Беларусь, г.Брест, беспартийная",1,None,г.Брест,Брестский-Центральный № 2,2,2004,1,,
Брестская область,Качан Валентина Ивановна,ж,1951,"КАЧАН Валентина Ивановна, 1951 г.р., санитарный врач, депутат Палаты представителей Национального собрания Республики Беларусь, г.Брест, беспартийная",1,None,г.Брест,Брестский-Восточный N3,3,2004,1,,
Брестская область,Сергиенко Николай Васильевич,м,1952,"СЕРГИЕНКО Николай Васильевич, 1952 г.р., инженер-химик, военнослужащий, депутат Палаты представителей Национального собрания Республики Беларусь, г.Барановичи, беспартийный",1,None,г.Барановичи,Барановичский-Восточный № 5,5,2004,1,,
Брестская область,Зинченко Александр Николаевич,м,1947,"ЗИНЧЕНКО Александр Николаевич, 1947 г.р., экономист, депутат Палаты представителей Национального собрания Республики Беларусь, г.Минск, член аграрной партии",1,Белорусская аграрная партия,г.Минск,Беловежский № 7,7,2004,1,,
Брестская область,Зданович Владимир Матвеевич,м,1959,"ЗДАНОВИЧ Владимир Матвеевич, 1959 г.р., радиофизик, менеджер социальной сферы, депутат Палаты представителей Национального собрания Республики Беларусь, г.Минск, беспартийный",1,None,г.Минск,Дрогичинский № 9,9,2004,1,,
Брестская область,Свирид Александр Владимирович,м,1946,"СВИРИД Александр Владимирович, 1946 г.р., экономист-организатор сельскохозяйственного производства, менеджер-экономист, депутат Палаты представителей Национального собрания Республики Беларусь, г.Минск, член КПБ",1,Коммунистическая партия Беларуси,г.Минск,Ивацевичский № 10,10,2004,1,,
Брестская область,Кибак Иван Алексеевич,м,1963,"КИБАК Иван Алексеевич, 1963 г.р., инженер-гидротехник, юрист, депутат Палаты представителей Национального собрания Республики Беларусь, г.Минск, беспартийный",1,None,г.Минск,Пинский сельский № 15,15,2004,0,,
Брестская область,Пашкевич Иван Иванович,м,1955,"ПАШКЕВИЧ Иван Иванович, 1955 г.р., журналист, юрист, депутат Палаты представителей Национального собрания Республики Беларусь, г.Минск, член партии СДП народного согласия",1,Социал-демократическая партия народного согласия,г.Минск,Столинский № 16,16,2004,0,,
Гомельская область,Папруга Валентин Алексеевич,м,1951,"ПАПРУГА Валентин Алексеевич, 1951 г.р., ученый агроном, менеджер-экономист, депутат Палаты представителей Национального собрания Республики Беларусь, д.Печищи, Светлогорский район, член Аграрной партии",1,Белорусская аграрная партия,"д.Печищи, Светлогорский район",Светлогорский № 48,48,2004,0,,
Могилевская область,Винокурова Мария Михайловна,ж,1939,"ВИНОКУРОВА Мария Михайловна, 1939 г.р., инженер-строитель, депутат Палаты представителей Национального собрания Республики Беларусь, г.Бобруйск, член КПБ",1,Коммунистическая партия Беларуси,г.Бобруйск,Бобруйский - Ленинский № 63,63,2004,0,,
Могилевская область,Морозов Владимир Иванович,м,1950,"МОРОЗОВ Владимир Иванович, 1950 г.р., учитель, заместитель председателя постоянной комиссии по национальной безопасности Палаты представителей Национального собрания РБ, г. Минск, беспартийный",1,None,г. Минск,Быховский № 66,66,2004,0,,
Минская область,Баслык Игорь Владимирович,м,1962,"БАСЛЫК Игорь Владимирович, 1962 г.р., инженер-организатор производства, депутат Палаты представителей Национального собрания Республики Беларусь, д. Выголовичи Мядельский район, беспартийный",1,None,д. Выголовичи Мядельский район,Вилейский № 79,79,2004,0,,
Минская область,Говорушкин Станислав Николаевич,м,1961,"ГОВОРУШКИН Станислав Николаевич, 1961 г.р., врач-невропатолог, депутат Палаты представителей Национального собрания Республики Беларусь, г. Минск, беспартийный",1,None,г. Минск,Молодечненский городской № 85,85,2004,0,,
Минск,Холопик Кирилл Вадимович,м,1967,"ХОЛОПИК Кирилл Вадимович, 1967 г.р., инженер-электрик, юрист, депутат Палаты представителей Национального собрания Республики Беларусь, г.Минск, член РП",1,Республиканская партия,г.Минск,Шабановский № 93,93,2004,0,,
Минск,Фролов Валерий Дмитриевич,м,1947,"ФРОЛОВ Валерий Дмитриевич, 1947 г.р., офицер с высшим оперативно-стратегическим образованием, менеджер-экономист, депутат Палаты представителей Национального собрания Республики Беларусь, г.Гродно, член БСДП ""НГ",1,Белорусская социал-демократическая партия (Народная грамада),г.Гродно,Масюковщинский № 104,104,2004,0,,
Гомельская область,Комяк Николай Михайлович,м,1952,"КОМЯК Николай Михайлович, 1952 года рождения, инженер, Заместитель председателя Постоянной комиссии по аграрным вопросам Палаты представителей Национального собрания Республики Беларусь, г.Добруш,, Член Аграрной партии",1,Белорусская аграрная партия,г.Добруш,Гомельский сельский № 39,39,2000,0,,
Брестская область,Жушма Петр Евгеньевич,м,1963,"ЖУШМА Петр Евгеньевич, 1963 года рождения, юрист, преподаватель, Заместитель председателя Постоянной комиссии по международным делам Палаты представителей Национального собрания Республики Беларусь, г.Минск, Беспартийный",1,None,г.Минск,Дрогичинский № 9,9,2000,0,,
Витебская область,Александров Валерий Михайлович,м,1947,"АЛЕКСАНДРОВ Валерий Михайлович, 1947 года рождения, юрист, Заместитель председателя Постоянной комиссии по законодательству Палаты представителей Национального собрания Республики Беларусь, г.Минск, Беспартийный",1,None,г.Минск,Витебский-Горьковский № 17,17,2000,0,,
Витебская область,Лапковский Олег Михайлович,м,1939,"ЛАПКОВСКИЙ Олег Михайлович, 1939 года рождения, инженер-механик, Заместитель председателя Постоянной комиссии по труду, социальным вопросам, охране здоровья, физической культуре и спорту Палаты представителей Национального собрания Республики Беларусь, г.Минск, Беспартийный",1,None,г.Минск,Миорский № 24,24,2000,0,,
Гомельская область,Сечко Леонид Никанорович,м,1948,"СЕЧКО Леонид Никанорович, 1948 года рождения, преподаватель, Член Постоянной комиссии по бюджету и финансам Палаты представителей Национального собрания Республики Беларусь, г.Минск, Член ПНС",1,Социал-демократическая партия народного согласия,г.Минск,Полесский № 45,45,2000,0,,
Гродненская область,Мудров Сергей Александрович,м,1977,"МУДРОВ Сергей Александрович, 1977 года рождения, экономист, Помощник депутата Палаты представителей Национального собрания Республики Беларусь, г.Минск, Беспартийный",1,None,г.Минск,Слонимский № 60,60,2000,0,,
Гродненская область,Реут Валерий Павлович,м,1952,"РЕУТ Валерий Павлович, 1952 года рождения, инженер-металлург, Заведующий отделом кадров секретариата Палаты представителей Национального собрания Республики Беларусь, г.Минск, Беспартийный",1,None,г.Минск,Слонимский № 60,60,2000,0,,
Могилевская область,Белозор Владимир Яковлевич,м,1948,"БЕЛОЗОР Владимир Яковлевич, 1948 года рождения, экономист, Заместитель начальника управления международных связей Секретариата Палаты представителей Национального собрания Республики Беларусь, г.Минск, Член Республиканской партии",1,Республиканская партия,г.Минск,Бобруйский-Первомайский № 64,64,2000,0,,
Могилевская область,Егоров Владимир Демьянович,м,1939,"ЕГОРОВ Владимир Демьянович, 1939 года рождения, юрист, Председатель Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по национальной безопасности, г.Минск, Беспартийный",1,None,г.Минск,Кричевский № 69,69,2000,0,,
Могилевская область,Козырь Александр Викторович,м,1945,"КОЗЫРЬ Александр Викторович, 1945 года рождения, инженер-механик, Председатель Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по международным делам и связям с СНГ, г.Могилев, Беспартийный",1,None,г.Могилев,Могилевский-Ленинский № 70,70,2000,0,,
Могилевская область,Игнатищев Руслан Михайлович,м,1939,"ИГНАТИЩЕВ Руслан Михайлович, 1939 года рождения, горный инженер-электромеханик, Заместитель председателя Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по образованию, культуре и научно-техническому прогрессу, г.Могилев, Беспартийный",1,None,г.Могилев,Могилевский-Центральный № 71,71,2000,0,,
Могилевская область,Лившиц Семен Борисович,м,1950,"ЛИВШИЦ Семен Борисович, 1950 года рождения, инженер, Председатель Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по вопросам экономики, г.Минск, Беспартийный",1,None,г.Минск,Осиповичский № 74,74,2000,0,,
Минск,Самусева Валентина Михайловна,ж,1950,"САМУСЕВА Валентина Михайловна, 1950 года рождения, учитель, Заместитель председателя Комиссии по образованию, культуре, науке и НТП Палаты представителей Национального собрания Республики Беларусь, г.Минск, Беспартийная",1,None,г.Минск,Есенинский № 99,99,2000,0,,
Минск,Сервачинский Юрий Ираклиевич,м,1947,"СЕРВАЧИНСКИЙ Юрий Ираклиевич, 1947 года рождения, преподаватель, Главный специалист Управления писем и приема граждан Секретариата Палаты представителей Национального собрания Республики Беларусь, г.Минск, Член Республиканской партии",1,Республиканская партия,г.Минск,Масюковщинский № 103,103,2000,0,,
Минск,Ераминок Владимир Николаевич,м,1944,"ЕРАМИНОК Владимир Николаевич, 1944 года рождения, юрист, Главный специалист отдела криминального и административного законодательства Управления экспертизы Главного экспертно-правового управления Секретариата Палаты представителей Национального собрания Республики Беларусь, г.Минск, Член Республиканской партии",1,Республиканская партия,г.Минск,Уручский № 108,108,2000,0,,
Брестская область,Зинченко Александр Николаевич,м,1947,"ЗИНЧЕНКО Александр Николаевич, 1947 года рождения, экономист, Председатель Постоянной комиссии по бюджету и финансам Палаты представителей Национального собрания Республики Беларусь, г.Минск, Беспартийный",1,None,г.Минск,Беловежский № 7,7,2000,1,,
Брестская область,Горгун Василий Степанович,м,1948,"ГОРГУН Василий Степанович, 1948 года рождения, зооинженер, учитель, Депутат Палаты представителей Национального собрания Республики Беларусь, д.Любань Лунинецкого района, Член РПТиС",1,Республиканская партия труда и справедливости,д.Любань Лунинецкого района,Лунинецкий № 12,12,2000,1,,
Брестская область,Пашкевич Иван Иванович,м,1955,"ПАШКЕВИЧ Иван Иванович, 1955 года рождения, журналист, Член Постоянной комиссии по международным делам и связям с СНГ Палаты представителей Национального собрания Республики Беларусь, г.Минск, Член Партии народного согласия",1,Социал-демократическая партия народного согласия,г.Минск,Столинский № 16,16,2000,1,,
Витебская область,Хрол Василий Петрович,м,1957,"ХРОЛ Василий Петрович, 1957 года рождения, инженер-конструктор-технолог, экономист-менеджер, юрист, Заместитель председателя Постоянной комиссии по вопросам экономики Палаты представителей Национального собрания Республики Беларусь, г.Минск, Беспартийный",1,None,г.Минск,Глубокский № 22,22,2000,1,,
Витебская область,Сосонко Михаил Павлович,м,1953,"СОСОНКО Михаил Павлович, 1953 года рождения, инженер, Заместитель председателя Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по государственному строительству, местному самоуправлению и регламенту, г.Минск, Беспартийный",1,None,г.Минск,Полоцкий сельский № 29,29,2000,1,,
Витебская область,Розынко Петр Михайлович,м,1942,"РОЗЫНКО Петр Михайлович, 1942 года рождения, ветеринарный врач, Депутат Палаты представителей Национального собрания Республики Беларусь, г.Поставы, Беспартийный",1,None,г.Поставы,Поставский № 30,30,2000,1,,
Витебская область,Азарченков Александр Михайлович,м,1944,"АЗАРЧЕНКОВ Александр Михайлович, 1944 года рождения, инженер-механик, Член Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по аграрным вопросам, г.Витебск, Член Аграрной партии",1,Белорусская аграрная партия,г.Витебск,Толочинский № 31,31,2000,1,,
Гомельская область,Крючков Валентин Петрович,м,1948,"КРЮЧКОВ Валентин Петрович, 1948 года рождения, инженер, Председатель Постоянной комиссии по проблемам чернобыльской катастрофы, экологии и природопользования Палаты представителей Национального собрания Республики Беларусь, г.Минск, Член Аграрной партии",1,Белорусская аграрная партия,г.Минск,Буда-Кошелевский № 40,40,2000,1,,
Гомельская область,Малофеев Анатолий Александрович,м,1933,"МАЛОФЕЕВ Анатолий Александрович, 1933 года рождения, экономист, Председатель Палаты представителей Национального собрания Республики Беларусь, г.Минск,, Беспартийный",1,None,г.Минск,Мозырьский № 44,44,2000,1,,
Гомельская область,Костян Сергей Иванович,м,1941,"КОСТЯН Сергей Иванович, 1941 года рождения, преподаватель, Заместитель председателя Постоянной комиссии по международным делам и связям с СНГ Палаты представителей Национального собрания Республики Беларусь, депутат, г.Мозырь, Член КПБ",1,Коммунистическая партия Беларуси,г.Мозырь,Полесский № 45,45,2000,1,,
Гомельская область,Куцко Николай Васильевич,м,1954,"КУЦКО Николай Васильевич, 1954 года рождения, инженер-механик, менеджер-экономист, Председатель Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по аграрным вопросам, г.Речица, Член Аграрной партии",1,Белорусская аграрная партия,г.Речица,Речицкий № 46,46,2000,1,,
Могилевская область,Шпилевский Александр Францевич,м,1953,"ШПИЛЕВСКИЙ Александр Францевич, 1953 года рождения, юрист, Заместитель председателя постоянной комиссии Палаты представителей Национального собрания Республики Беларусь, г.Минск, Беспартийный",1,None,г.Минск,Бобруйский-Ленинский № 63,63,2000,1,,
Могилевская область,Бобков Анатолий Константинович,м,1947,"БОБКОВ Анатолий Константинович, 1947 года рождения, экономист, юрист, Председатель постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по законодательству, г.Бобруйск, Беспартийный",1,None,г.Бобруйск,Бобруйский № 65,65,2000,1,,
Могилевская область,Симирский Валентин Романович,м,1946,"СИМИРСКИЙ Валентин Романович, 1946 года рождения, учитель, юрист, Помощник заместителя председателя Палаты представителей Национального собрания Республики Беларусь, генеральный директор Швейцарского представительства АО ""Неллант"", г.Минск, Беспартийный",1,None,г.Минск,Костюковичский № 68,68,2000,1,,
Могилевская область,Коноплев Владимир Николаевич,м,1954,"КОНОПЛЕВ Владимир Николаевич, 1954 года рождения, учитель, Заместитель Председателя Палаты представителей Национального собрания Республики Беларусь, г.Минск, Беспартийный",1,None,г.Минск,Шкловский № 75,75,2000,1,,
Минская область,Худая Мария Николаевна,ж,1940,"ХУДАЯ Мария Николаевна, 1940 года рождения, бухгалтер-экономист, педагог, Заместитель председателя Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по проблемам чернобыльской катастрофы, экологии и природопользованию, г. Минск, Беспартийная",1,None,г. Минск,Несвижский № 88,88,2000,1,,
Минская область,Котляров Игорь Васильевич,м,1948,"КОТЛЯРОВ Игорь Васильевич, 1948 года рождения, инженер, социолог, политолог, Заместитель председателя Постоянной комиссии по правам человека и национальным отношениям Палаты представителей Национального собрания Республики Беларусь, г. Минск, Член КПБ",1,Коммунистическая партия Беларуси,г. Минск,Пуховичский № 89,89,2000,1,,
Минская область,Дубовик Николай Николаевич,м,1955,"ДУБОВИК Николай Николаевич, 1955 года рождения, юрист, инженер-педагог, Заместитель председателя Постоянной комиссии Палаты представителей Национального собрания Республики Беларусь по труду, социальным вопросам, охране здоровья, физической культуре и спорту, г. Минск, Беспартийный",1,None,г. Минск,Столбцовский № 92,92,2000,1,,
